Year,Total
1751.0,3.0
1752.0,3.0
1753.0,3.0
1754.0,3.0
1755.0,3.0
1756.0,3.0
1757.0,3.0
1758.0,3.0
1759.0,3.0
1760.0,3.0
1761.0,3.0
1762.0,3.0
1763.0,3.0
1764.0,3.0
1765.0,3.0
1766.0,3.0
1767.0,3.0
1768.0,3.0
1769.0,3.0
1770.0,3.0
1771.0,4.0
1772.0,4.0
1773.0,4.0
1774.0,4.0
1775.0,4.0
1776.0,4.0
1777.0,4.0
1778.0,4.0
1779.0,4.0
1780.0,4.0
1781.0,5.0
1782.0,5.0
1783.0,5.0
1784.0,5.0
1785.0,5.0
1786.0,5.0
1787.0,5.0
1788.0,5.0
1789.0,5.0
1790.0,5.0
1791.0,6.0
1792.0,6.0
1793.0,6.0
1794.0,6.0
1795.0,6.0
1796.0,6.0
1797.0,7.0
1798.0,7.0
1799.0,7.0
1800.0,8.0
1801.0,8.0
1802.0,10.0
1803.0,9.0
1804.0,9.0
1805.0,9.0
1806.0,10.0
1807.0,10.0
1808.0,10.0
1809.0,10.0
1810.0,10.0
1811.0,11.0
1812.0,11.0
1813.0,11.0
1814.0,11.0
1815.0,12.0
1816.0,13.0
1817.0,14.0
1818.0,14.0
1819.0,14.0
1820.0,14.0
1821.0,14.0
1822.0,15.0
1823.0,16.0
1824.0,16.0
1825.0,17.0
1826.0,17.0
1827.0,18.0
1828.0,18.0
1829.0,18.0
1830.0,24.0
1831.0,23.0
1832.0,23.0
1833.0,24.0
1834.0,24.0
1835.0,25.0
1836.0,29.0
1837.0,29.0
1838.0,30.0
1839.0,31.0
1840.0,33.0
1841.0,34.0
1842.0,36.0
1843.0,37.0
1844.0,39.0
1845.0,43.0
1846.0,43.0
1847.0,46.0
1848.0,47.0
1849.0,50.0
1850.0,54.0
1851.0,54.0
1852.0,57.0
1853.0,59.0
1854.0,69.0
1855.0,71.0
1856.0,76.0
1857.0,77.0
1858.0,78.0
1859.0,83.0
1860.0,91.0
1861.0,95.0
1862.0,97.0
1863.0,104.0
1864.0,112.0
1865.0,119.0
1866.0,122.0
1867.0,130.0
1868.0,135.0
1869.0,142.0
1870.0,147.0
1871.0,156.0
1872.0,173.0
1873.0,184.0
1874.0,174.0
1875.0,188.0
1876.0,191.0
1877.0,194.0
1878.0,196.0
1879.0,210.0
1880.0,236.0
1881.0,243.0
1882.0,256.0
1883.0,272.0
1884.0,275.0
1885.0,277.0
1886.0,281.0
1887.0,295.0
1888.0,327.0
1889.0,327.0
1890.0,356.0
1891.0,372.0
1892.0,374.0
1893.0,370.0
1894.0,383.0
1895.0,406.0
1896.0,419.0
1897.0,440.0
1898.0,465.0
1899.0,507.0
1900.0,534.0
1901.0,552.0
1902.0,566.0
1903.0,617.0
1904.0,624.0
1905.0,663.0
1906.0,707.0
1907.0,784.0
1908.0,750.0
1909.0,785.0
1910.0,819.0
1911.0,836.0
1912.0,879.0
1913.0,943.0
1914.0,850.0
1915.0,838.0
1916.0,901.0
1917.0,955.0
1918.0,936.0
1919.0,806.0
1920.0,932.0
1921.0,803.0
1922.0,845.0
1923.0,970.0
1924.0,963.0
1925.0,975.0
1926.0,983.0
1927.0,1062.0
1928.0,1065.0
1929.0,1145.0
1930.0,1053.0
1931.0,940.0
1932.0,847.0
1933.0,893.0
1934.0,973.0
1935.0,1027.0
1936.0,1130.0
1937.0,1209.0
1938.0,1142.0
1939.0,1192.0
1940.0,1299.0
1941.0,1334.0
1942.0,1342.0
1943.0,1391.0
1944.0,1383.0
1945.0,1160.0
1946.0,1238.0
1947.0,1392.0
1948.0,1469.0
1949.0,1419.0
1950.0,1630.0
1951.0,1767.0
1952.0,1795.0
1953.0,1841.0
1954.0,1865.0
1955.0,2042.0
1956.0,2177.0
1957.0,2270.0
1958.0,2330.0
1959.0,2454.0
1960.0,2569.0
1961.0,2580.0
1962.0,2686.0
1963.0,2833.0
1964.0,2995.0
1965.0,3130.0
1966.0,3288.0
1967.0,3393.0
1968.0,3566.0
1969.0,3780.0
1970.0,4053.0
1971.0,4208.0
1972.0,4376.0
1973.0,4614.0
1974.0,4623.0
1975.0,4596.0
1976.0,4864.0
1977.0,5016.0
1978.0,5074.0
1979.0,5357.0
1980.0,5301.0
1981.0,5138.0
1982.0,5094.0
1983.0,5075.0
1984.0,5258.0
1985.0,5417.0
1986.0,5583.0
1987.0,5725.0
1988.0,5936.0
1989.0,6066.0
1990.0,6074.0
1991.0,6142.0
1992.0,6078.0
1993.0,6070.0
1994.0,6174.0
1995.0,6305.0
1996.0,6448.0
1997.0,6556.0
1998.0,6576.0
1999.0,6561.0
2000.0,6733.0
2001.0,6893.0
2002.0,6994.0
2003.0,7376.0
2004.0,7743.0
2005.0,8042.0
2006.0,8336.0
2007.0,8503.0
2008.0,8776.0
2009.0,8697.0
2010.0,9128.0
2011.0,9503.0
2012.0,9673.0
2013.0,9773.0
2014.0,9855.0
